DateOfRound,Score,Putts,PuttsInsideTenFeetAttempted,PuttsInsideTenFeetMade,PuttsInsideTenFeetMakePercentage,Fairways,Greens,Inside100,UpAndDownAttempts,UpAndDownSuccess,UpAndDownSuccessPercentage
6/25/2020,76,36,21,18,85.71428571,7,13,43,5,0,0
6/26/2020,72,31,19,17,89.47368421,11,12,41,6,3,50
6/29/2020,70,30,20,16,80,6,11,41,7,3,42.85714286
6/30/2020,72,33,21,17,80.95238095,6,13,43,5,2,40
7/1/2020,72,32,17,16,94.11764706,6,10,42,8,3,37.5
7/6/2020,72,31,21,16,76.19047619,6,12,45,6,3,50
7/7/2020,73,31,20,17,85,4,10,41,8,5,62.5
7/8/2020,73,30,16,15,93.75,5,7,44,11,4,36.36363636
7/10/2020,75,34,20,18,90,10,11,44,7,2,28.57142857
7/11/2020,72,33,21,17,80.95238095,7,12,43,6,2,33.33333333
7/12/2020,69,32,18,17,94.44444444,7,15,40,3,2,66.66666667
7/14/2020,76,34,20,18,90,6,7,47,11,4,36.36363636
7/16/2020,72,32,21,18,85.71428571,6,9,43,9,5,55.55555556
7/20/2020,71,29,17,16,94.11764706,6,10,42,8,4,50
7/22/2020,71,28,16,14,87.5,2,9,44,9,6,66.66666667
7/28/2020,78,30,21,18,85.71428571,5,5,45,13,7,53.84615385
7/29/2020,71,32,20,17,85,6,11,43,7,4,57.14285714
7/31/2020,72,32,20,18,90,4,14,42,4,2,50
8/1/2020,79,31,21,18,85.71428571,4,5,48,13,7,53.84615385
8/2/2020,72,30,20,17,85,6,11,42,7,4,57.14285714
8/3/2020,69,32,18,17,94.44444444,4,11,42,7,6,85.71428571
8/4/2020,74,30,18,18,100,8,6,40,12,10,83.33333333
8/7/2020,75,32,21,18,85.71428571,5,8,44,10,6,60
8/9/2020,79,39,25,18,72,8,11,50,7,3,42.85714286
8/13/2020,75,31,20,18,90,2,8,46,10,3,30
8/17/2020,71,31,19,17,89.47368421,8,13,44,5,4,80
8/21/2020,71,30,18,16,88.88888889,6,12,43,6,4,66.66666667
9/5/2020,82,33,19,18,94.73684211,7,8,47,11,1,9.090909091
9/6/2020,75,31,19,16,84.21052632,5,12,41,6,2,33.33333333
9/11/2020,77,30,16,16,100,6,9,41,9,1,11.11111111
9/12/2020,79,34,23,18,78.26086957,7,10,42,8,4,50
9/13/2020,77,31,18,16,88.88888889,11,9,42,9,3,33.33333333
9/19/2020,81,32,20,16,80,2,7,45,11,5,45.45454545
9/25/2020,75,33,22,16,72.72727273,10,12,40,6,2,33.33333333
9/27/2020,77,31,19,18,94.73684211,7,10,42,8,4,50
10/3/2020,80,32,21,18,85.71428571,9,7,44,11,4,36.36363636
10/4/2020,77,34,18,16,88.88888889,6,11,40,7,2,28.57142857
8/22/2019,79,33,20,16,80,6,9,42,9,5,55.55555556
8/23/2019,74,34,21,17,80.95238095,5,14,39,4,1,25
8/24/2019,77,30,19,18,94.73684211,7,8,43,10,6,60
8/25/2019,80,37,20,17,85,4,11,48,7,2,28.57142857
8/26/2019,79,32,20,18,90,7,8,41,10,4,40
8/27/2019,79,32,19,17,89.47368421,7,9,42,9,4,44.44444444
8/29/2019,78,34,21,18,85.71428571,7,10,43,8,2,25
8/31/2019,77,33,21,18,85.71428571,6,10,42,8,3,37.5
9/1/2019,81,30,21,15,71.42857143,7,7,41,11,4,36.36363636
9/2/2019,78,32,18,16,88.88888889,9,9,44,9,3,33.33333333
9/3/2019,81,36,18,18,100,6,11,42,7,0,0
9/5/2019,75,33,23,18,78.26086957,7,11,41,7,2,28.57142857
9/7/2019,72,33,17,15,88.23529412,6,14,39,4,2,50
9/9/2019,81,33,20,18,90,6,7,45,11,4,36.36363636
9/14/2019,78,39,16,14,87.5,7,10,40,8,5,62.5
9/15/2019,80,35,23,18,78.26086957,4,10,42,8,2,25
9/16/2019,68,32,21,16,76.19047619,5,17,37,1,0,0
9/21/2019,79,34,21,17,80.95238095,5,13,42,5,2,40
